
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-07-04 11:24:57 / .......................................... ~ 500.44ms
  2026-07-04 11:24:58 /favicon.ico ................................. ~ 0.22ms
  2026-07-04 11:25:44 /customer/login .............................. ~ 0.21ms
  2026-07-04 11:25:45 /favicon.ico ................................. ~ 0.21ms
  2026-07-04 11:25:49 /favicon.ico ................................. ~ 0.28ms
  2026-07-04 11:25:58 /admin/login ................................. ~ 0.28ms
  2026-07-04 11:25:59 /favicon.ico ................................. ~ 0.20ms
  2026-07-04 11:26:15 /admin/login ............................... ~ 500.53ms
  2026-07-04 11:26:16 /admin/login ................................. ~ 0.07ms
  2026-07-04 11:26:16 /favicon.ico ................................. ~ 0.06ms
  2026-07-04 11:26:24 /admin/login ............................... ~ 500.44ms
  2026-07-04 11:26:25 /admin/dashboard ............................. ~ 0.07ms
  2026-07-04 11:26:25 /favicon.ico ................................. ~ 0.20ms
  2026-07-04 11:26:52 /admin/settings/integrations ..................... ~ 1s
  2026-07-04 11:26:57 /admin/settings/integrations ............... ~ 500.45ms
  2026-07-04 11:27:01 /favicon.ico ................................. ~ 0.26ms
  2026-07-04 11:27:03 /admin/settings/integrations ..................... ~ 3s
